Estimate summary
Upfront cost,Monthly cost,Total 12 months cost,Currency
0,18690.084000000003,224281.01,USD
,,* Includes upfront cost


Detailed Estimate
Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Status,Configuration summary
My Estimate,US East (Ohio),,Amazon EC2 ,0,2586.94,31043.28,USD,,"Tenancy (Shared Instances), Operating system (Linux), Workload (Consistent, Number of instances: 10), Advance EC2 instance (t3.2xlarge), Pricing strategy (On-Demand Utilization: 100 %Utilized/Month), Enable monitoring (disabled), EBS Storage amount (30 GB), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
My Estimate,US East (Ohio),,Amazon EC2 ,0,2639.5,31674.00,USD,,"Tenancy (Shared Instances), Operating system (Linux), Workload (Consistent, Number of instances: 10), Advance EC2 instance (c5.2xlarge), Pricing strategy (On-Demand Utilization: 100 %Utilized/Month), Enable monitoring (disabled), EBS Storage amount (30 GB), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
My Estimate,US East (Ohio),,Amazon RDS for MySQL,0,4318.904,51826.85,USD,,"Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (1000 GB), Quantity (2), Instance type (db.m5.4xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Deployment option (Multi-AZ), Pricing strategy (Reserved 1yr No Upfront), Additional backup storage (10000 GB)"
My Estimate,US East (Ohio),,S3 Standard,0,230,2760.00,USD,,S3 Standard storage (10000 GB per month)
My Estimate,US East (Ohio),,Data Transfer,0,0,0.00,USD,,
My Estimate,US East (Ohio),,Application Load Balancer,0,1184.43,14213.16,USD,,Number of Application Load Balancers (1)
My Estimate,US East (Ohio),,Network Load Balancer,0,1768.43,21221.16,USD,,"Number of Network Load Balancers (1), Processed bytes per NLB for TCP (200 GB per hour), Average number of new TCP connections (10 per second), Average TCP connection duration (30 seconds), Processed bytes per NLB for TLS (200 GB per hour), Average number of new TLS connections (10 per second), Average TLS connection duration (30 seconds)"
My Estimate,US East (Ohio),,Amazon CloudWatch,0,3220,38640.00,USD,,"Number of Metrics (includes detailed and custom metrics) (10000), GetMetricData: Number of metrics requested (10000000), Number of other API requests (10000000), GetMetricWidgetImage: Number of metrics requested (1000000)"
My Estimate,US East (Ohio),,Amazon Route 53,0,1038,12456.00,USD,,"Hosted Zones (1), Basic Checks Within AWS (100), Number of Elastic Network Interfaces (10)"
My Estimate,US East (Ohio),,VPN Connection,0,667,8004.00,USD,,"Working days per month (30), Number of subnet associations (4)"
My Estimate,US East (Ohio),,Network Address Translation (NAT) Gateway,0,965.7,11588.40,USD,,Number of NAT Gateways (2)
My Estimate,US East (Ohio),,Gateway Load Balancer,0,71.18,854.16,USD,,"Number of Availability Zones that Gateway Load Balancer is deployed to (1), Number of Gateway Load Balancer Endpoints (1), Total processed bytes (10 GB per hour)"



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
